constno,candidatename,party,criminalcases,education,age,totalassets,liabilities
137,V.jeevakumar,CPI(M),0,Graduate Professional,53,"Rs 42,95,000",Rs 0
138,B.anjugam,DMK,0,Post Graduate,29,"Rs 83,59,954","Rs 11,01,228"
138,G.kunjithapatham,Pattali Makkal Katchi,0,Post Graduate,44,"Rs 93,96,201","Rs 11,22,224"
138,M.rengasamy,AIADMK,0,Graduate Professional,60,"Rs 1,18,81,947","Rs 23,93,972"
138,M.s.ramalingam,BJP,0,12th Pass,60,"Rs 1,65,19,432","Rs 1,79,000"
138,Rajeshkannan A.,Tamilaga Makkal Munnetra Kazhagam,"<span style=""color:red;font-weight:bold;font-size:150%""> 1 </span>",Graduate Professional,37,"Rs 4,14,000",Rs 0
138,V.jeyaprakash,DMDK,"<span style=""color:red;font-weight:bold;font-size:150%""> 1 </span>",8th Pass,36,"Rs 1,04,02,000","Rs 8,00,000"
139,Ramchandran. M,DMK,0,Graduate Professional,70,"Rs 1,02,20,976",Rs 0
139,Jayapal A.,BSP,0,5th Pass,44,"Rs 6,48,124",Rs 0
139,Kandhasamy M.,Naam Tamilar Katchi,0,Others,36,"Rs 49,52,750",Rs 0
139,Kesavan. T,BJP,0,8th Pass,44,"Rs 2,51,000",Rs 0
139,R.vaithilingam,AIADMK,0,12th Pass,61,"Rs 2,30,12,532","Rs 78,26,522"
139,Ramanathan. P,DMDK,"<span style=""color:red;font-weight:bold;font-size:150%""> 1 </span>",Graduate Professional,46,"Rs 60,54,740","Rs 5,80,000"
139,Saravana Iyappan. M,Pattali Makkal Katchi,0,12th Pass,36,"Rs 82,98,400","Rs 15,00,000"
139,Thangaraj D.,Peoples Party of India(secular),0,Graduate,65,"Rs 12,15,500",Rs 0
140,Sekar. V,AIADMK,0,Graduate Professional,54,"Rs 2,16,34,585","Rs 5,28,441"
140,Lakshmi. C,Pattali Makkal Katchi,0,Graduate Professional,35,"Rs 28,18,763","Rs 5,57,000"
140,Mahendran. K,INC,"<span style=""color:red;font-weight:bold;font-size:150%""> 2 </span>",12th Pass,41,"Rs 72,93,216","Rs 12,11,424"
140,Mohamed Iliyas Z,SDPI,"<span style=""color:red;font-weight:bold;font-size:150%""> 2 </span>",10th Pass,29,"Rs 9,98,919",Rs 0
140,Muruganantham. M,BJP,"<span style=""color:red;font-weight:bold;font-size:150%""> 22 </span>",10th Pass,42,"Rs 30,64,249","Rs 13,00,000"
140,Senthilkumar. N,DMDK,0,Post Graduate,46,"Rs 5,08,24,244","Rs 10,97,867"
140,Vivekananthan J.,Tamilaga Makkal Munnetra Kazhagam,"<span style=""color:red;font-weight:bold;font-size:150%""> 1 </span>",5th Pass,38,"Rs 5,30,500",Rs 0
141,Govindarasu M,AIADMK,0,10th Pass,65,"Rs 72,09,474","Rs 11,84,874"
141,Ashok Kumar N,DMK,0,10th Pass,59,"Rs 4,25,35,512","Rs 13,98,000"
141,Balu Av,IND,0,Post Graduate,32,"Rs 23,79,000","Rs 18,09,692"
141,Elango R,BJP,"<span style=""color:red;font-weight:bold;font-size:150%""> 3 </span>",12th Pass,42,"Rs 1,96,28,605","Rs 23,30,000"
141,Thamayanthi T.,CPI,0,5th Pass,51,"Rs 15,66,753","Rs 12,000"
141,Thiyagarajan P,Pattali Makkal Katchi,0,Graduate,40,"Rs 19,01,266","Rs 12,72,000"
142,Ganesh R,INC,0,Post Graduate,53,"Rs 61,88,584","Rs 8,71,485"
142,Balraj M,Pattali Makkal Katchi,0,Graduate Professional,50,"Rs 36,69,000","Rs 1,25,000"
142,King Narcissus K,DMDK,0,Post Graduate,61,"Rs 1,83,55,000","Rs 9,00,000"
142,Raman J,BJP,0,Graduate,63,"Rs 62,51,478","Rs 32,62,000"
142,Subramani N,Gandhiya Makkal Iyakkam,0,Graduate Professional,58,"Rs 2,07,75,673","Rs 1,00,000"
142,Vinoth,AIADMK,"<span style=""color:red;font-weight:bold;font-size:150%""> 4 </span>",12th Pass,33,"Rs 37,78,306","Rs 13,20,000"
143,Thiravidamani.m,DMK,0,Post Graduate,56,"Rs 1,28,72,017",Rs 0
143,Kalaiselvan S,AIADMK,0,10th Pass,48,"Rs 35,99,441",Rs 0
143,Murugesan@murugesh,Pattali Makkal Katchi,0,8th Pass,48,"Rs 3,58,000",Rs 0
143,Tamilmani P.,CPI(M),0,8th Pass,69,"Rs 23,47,069","Rs 1,31,700"
144,Ramu A,AIADMK,"<span style=""color:red;font-weight:bold;font-size:150%""> 2 </span>",Graduate,52,"Rs 14,19,36,093","Rs 33,50,027"
144,Chidambaram V,DMDK,0,Literate,51,"Rs 1,46,88,100","Rs 49,28,574"
144,Dharmaraj.s,IND,0,Graduate,63,"Rs 46,44,502",Rs 0
144,Kumaran B,BJP,0,Post Graduate,56,"Rs 1,19,50,000","Rs 24,00,000"
144,Mubarak B M,DMK,"<span style=""color:red;font-weight:bold;font-size:150%""> 1 </span>",8th Pass,60,"Rs 4,97,13,330","Rs 17,42,000"
144,Senthil Kumar P,Pattali Makkal Katchi,"<span style=""color:red;font-weight:bold;font-size:150%""> 1 </span>",8th Pass,35,"Rs 2,98,100","Rs 2,00,000"
144,Valli.h,Gandhiya Makkal Iyakkam,0,10th Pass,42,"Rs 70,30,000","Rs 8,50,000"
145,Chakkaravarthi.r,BJP,"<span style=""color:red;font-weight:bold;font-size:150%""> 1 </span>",Graduate,32,"Rs 19,63,259",Rs 0
145,Mookaiah.l,DMK,"<span style=""color:red;font-weight:bold;font-size:150%""> 2 </span>",8th Pass,71,"Rs 2,19,67,182",Rs 0
146,Kathirkamu.k,AIADMK,0,Post Graduate,58,"Rs 3,76,32,162","Rs 64,56,500"
146,Anbazhagan,DMK,0,Graduate Professional,47,"Rs 46,19,531","Rs 14,81,165"
146,Chellam.k,BJP,0,10th Pass,60,"Rs 70,37,000","Rs 13,00,000"
147,Thiru O.panneerselvam,AIADMK,0,12th Pass,65,"Rs 1,53,65,075","Rs 25,00,735"
147,A.ramakrishnan,Pattali Makkal Katchi,0,8th Pass,39,"Rs 46,30,000","Rs 4,90,000"
